Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-1492,CERRADO CON OPORTUNIDADES,Ogarrio-898,Ogarrio 5,18.01152778,-93.94683333,Ogarrio-1492,25/11/2012,3000,D
Ogarrio,Ogarrio-1500,PRODUCTOR ,Ogarrio-811,Ogarrio 5,18.00738889,-93.93730556,Ogarrio-811,06/01/2013,3000,D
Ogarrio,Ogarrio-1504,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-656,Fuera del Campo Ogarrio (No llega a ninguna Batería),18.06425,-93.95305556,Ogarrio-1504,19/07/2013,2038,D
Ogarrio,Ogarrio-1510,PRODUCTOR ,Ogarrio-1510,Ogarrio 5,17.99866667,-93.92763889,Ogarrio-1510,25/07/2012,2621,D
Ogarrio,Ogarrio-1511,PRODUCTOR ,Ogarrio-829,Ogarrio 5,17.99102778,-93.92744444,Ogarrio-829,21/05/2012,2789,D
Ogarrio,Ogarrio-1512,PRODUCTOR ,Ogarrio-1512,Ogarrio 5,17.99336111,-93.93719444,Ogarrio-1512,29/12/2012,3000,D
Ogarrio,Ogarrio-1513,CERRADO CON OPORTUNIDADES,Ogarrio-813,Ogarrio 5,17.99827778,-93.93402778,Ogarrio-813,31/08/2012,2970,D
Ogarrio,Ogarrio-1514,PRODUCTOR ,Ogarrio-815,Ogarrio 5,18.00508333,-93.93419444,Ogarrio-815,11/08/2012,2548,D
Ogarrio,Ogarrio-1515,CERRADO CON OPORTUNIDADES,Ogarrio-1515,Ogarrio 5,17.98219444,-93.91644444,Ogarrio-1515,15/01/2013,3115,D
Ogarrio,Ogarrio-1516,PRODUCTOR ,Ogarrio-1521,Ogarrio 5,18.00202778,-93.92761111,Ogarrio-830,18/05/2013,2349,D
Ogarrio,Ogarrio-1518,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-707,Ogarrio 5,17.97691667,-93.91325,Ogarrio-707,24/02/2013,3290,D
Ogarrio,Ogarrio-1519,PRODUCTOR ,Ogarrio-815,Ogarrio 5,18.00558333,-93.93391667,Ogarrio-815,20/09/2012,2258,D
Ogarrio,Ogarrio-1520,PRODUCTOR ,Ogarrio-811,Ogarrio 5,18.00730556,-93.93741667,Ogarrio-811,02/12/2012,3003,D
Ogarrio,Ogarrio-1521,PRODUCTOR ,Ogarrio-1521,Ogarrio 5,18.00241667,-93.92772222,Ogarrio-830,21/04/2013,2301,D
Ogarrio,Ogarrio-1526,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1526,Ogarrio 5,18.02388889,-93.95336111,Ogarrio-1526,06/06/2015,3168,D
Ogarrio,Ogarrio-1528,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1490,Ogarrio 5,18.02222222,-93.95686111,Ogarrio-1205,26/05/2014,3154,D
Ogarrio,Ogarrio-1529,CERRADO CON OPORTUNIDADES,Ogarrio-468,Ogarrio 2,18.03722222,-93.94680556,Ogarrio-468,22/07/2013,2916,D
Ogarrio,Ogarrio-1600,CERRADO CON OPORTUNIDADES,Ogarrio-1235,Ogarrio 2,18.03272222,-93.95805556,Ogarrio-1235,09/03/2014,2695,D
Ogarrio,Ogarrio-1601,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1235,Ogarrio 2,18.03272222,-93.95833333,Ogarrio-1235,07/07/2014,2972,D
Ogarrio,Ogarrio-1603,CERRADO CON OPORTUNIDADES,Ogarrio-816,Ogarrio 5,18.00019444,-93.93075,Ogarrio-816,11/10/2014,2224,D
Ogarrio,Ogarrio-1604,CERRADO,Ogarrio-1604,Ogarrio 2,18.01052778,-93.93491667,Ogarrio-1604,09/06/2014,2048,D
Ogarrio,Ogarrio-1605,CERRADO CON OPORTUNIDADES,Ogarrio-1605,Ogarrio 5,18.00797222,-93.94375,Ogarrio-808,08/10/2014,2639,D
Ogarrio,Ogarrio-272,CERRADO CON OPORTUNIDADES,Ogarrio-72,Ogarrio 2,18.03155556,-93.92175,Ogarrio-72,15/05/1958,2015,V
Ogarrio,Ogarrio-30,PRODUCTOR ,Ogarrio-30,Ogarrio 2,18.02625,-93.92227778,Ogarrio-30,31/07/1960,1915,V
Ogarrio,Ogarrio-31,PRODUCTOR ,N.A.,Ogarrio 2,18.02525,-93.93763889,Ogarrio-31,16/08/1960,1980,V
Ogarrio,Ogarrio-4,PRODUCTOR ,Ogarrio-4,Ogarrio 2,18.02594444,-93.91908333,Ogarrio-4,12/09/1957,2098,V
Ogarrio,Ogarrio-470,CERRADO,Ogarrio-70,Ogarrio 2,18.03375,-93.92488889,Ogarrio-70,25/10/1958,1764,V
Ogarrio,Ogarrio-53,CERRADO,N.A.,Ogarrio 2,18.03511111,-93.92961111,Ogarrio-53,23/10/1960,1850,V
Ogarrio,Ogarrio-54,CERRADO,Ogarrio-54,Ogarrio 2,18.03405556,-93.92961111,Ogarrio-54,06/11/1959,1895,V
Ogarrio,Ogarrio-554,PRODUCTOR ,Ogarrio-554,Ogarrio 2,18.03941667,-93.92755556,Ogarrio-554,01/10/1958,2351,V
Ogarrio,Ogarrio-56,CERRADO CON OPORTUNIDADES,Ogarrio-56,Ogarrio 2,18.03194444,-93.92508333,Ogarrio-56,09/07/1959,1961.4,V
Ogarrio,Ogarrio-57,PRODUCTOR ,Ogarrio-57,Ogarrio 2,18.03088889,-93.92352778,Ogarrio-57,16/03/1960,2100,V
Ogarrio,Ogarrio-59D,CERRADO,Ogarrio-59,Ogarrio 2,18.02877778,-93.92041667,Ogarrio-59,17/07/1960,1937,V
Ogarrio,Ogarrio-60,CERRADO,Ogarrio-60,Ogarrio 2,18.02769444,-93.91894444,Ogarrio-60,19/07/1960,2400,V
Ogarrio,Ogarrio-60D,CERRADO,Ogarrio-60,Ogarrio 2,18.02763889,-93.91888889,Ogarrio-60,22/08/1960,2125,V
Ogarrio,Ogarrio-61D,CERRADO,Ogarrio-61,Ogarrio 2,18.02669444,-93.91736111,Ogarrio-61 ,11/06/1960,2065,V
Ogarrio,Ogarrio-705,PRODUCTOR ,Ogarrio-705,Ogarrio 5,#N/A,#N/A,#N/A,27/08/1972,3812,V
Ogarrio,Ogarrio-707,PRODUCTOR ,Ogarrio-707,Ogarrio 5,17.977,-93.91330556,Ogarrio-707,11/04/1972,3519,V
Ogarrio,Ogarrio-718,CERRADO CON OPORTUNIDADES,Ogarrio-718,Ogarrio 5,17.97333333,-93.90688889,Ogarrio-704,09/08/2011,3602,V
Ogarrio,Ogarrio-72,CERRADO,Ogarrio-72,Ogarrio 2,18.03161111,-93.92186111,Ogarrio-72,03/11/1958,2306.4,V
Ogarrio,Ogarrio-723,PRODUCTOR ,Ogarrio-706,Ogarrio 5,17.97352778,-93.91302778,Ogarrio-706,13/03/2012,3600,V
Ogarrio,Ogarrio-724,PRODUCTOR ,Ogarrio-706,Ogarrio 5,17.97344444,-93.91311111,Ogarrio-706,25/07/2011,3466,V
Ogarrio,Ogarrio-801,CERRADO CON OPORTUNIDADES,Ogarrio-801,Ogarrio 5,18.00216667,-93.94016667,Ogarrio-801,15/10/1970,3784,V
Ogarrio,Ogarrio-802,CERRADO CON OPORTUNIDADES,Ogarrio-802,Ogarrio 5,18.00588889,-93.94055556,Ogarrio-802,14/04/1971,3564.9,V
Ogarrio,Ogarrio-802D,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-802,Ogarrio 5,18.00583333,-93.94058333,Ogarrio-802,29/07/1971,3312,V
Ogarrio,Ogarrio-803D,PRODUCTOR ,Ogarrio-803,Ogarrio 5,18.00411111,-93.937,Ogarrio-803,12/04/1972,2560,V
Ogarrio,Ogarrio-804,CERRADO CON OPORTUNIDADES,Ogarrio-804,Ogarrio 5,18.0005,-93.93722222,Ogarrio-804,01/11/1971,3147,V
Ogarrio,Ogarrio-804D,CERRADO CON OPORTUNIDADES,Ogarrio-804,Ogarrio 5,18.0005,-93.93716667,Ogarrio-804,17/02/1972,3320,V
Ogarrio,Ogarrio-804T,CERRADO CON OPORTUNIDADES,Ogarrio-804,Ogarrio 5,#N/A,#N/A,Ogarrio-804,23/03/1972,2300,D
Ogarrio,Ogarrio-811,PRODUCTOR ,Ogarrio-811,Ogarrio 5,18.00766667,-93.93725,Ogarrio-811,04/08/1972,3243,V
Ogarrio,Ogarrio-812,CERRADO CON OPORTUNIDADES,Ogarrio-812,Ogarrio 5,18.00216667,-93.93391667,Ogarrio-812,28/06/1972,2995,V
Ogarrio,Ogarrio-812D,CERRADO CON OPORTUNIDADES,Ogarrio-812,Ogarrio 5,18.00222222,-93.93383333,Ogarrio-812,02/11/1973,2775,V
Ogarrio,Ogarrio-813,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-813,Ogarrio 5,17.99861111,-93.93397222,Ogarrio-813,12/09/1972,3100,V
Ogarrio,Ogarrio-813D,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-813,Ogarrio 5,17.99869444,-93.93397222,Ogarrio-813,29/03/1973,2525,V
Ogarrio,Ogarrio-815,CERRADO CON OPORTUNIDADES,Ogarrio-815,Ogarrio 5,18.00586111,-93.93394444,Ogarrio-815,16/09/1972,2511,V
Ogarrio,Ogarrio-815D,CERRADO CON OPORTUNIDADES,Ogarrio-815,Ogarrio 5,18.00588889,-93.93391667,Ogarrio-815,16/06/1974,2100,V
Ogarrio,Ogarrio-816,PRODUCTOR ,Ogarrio-816,Ogarrio 5,18.00044444,-93.93066667,Ogarrio-816,24/03/1973,2358,V
Ogarrio,Ogarrio-817,PRODUCTOR ,Ogarrio-817,Ogarrio 5,17.99675,-93.93066667,Ogarrio-817,09/10/1972,2675,V
Ogarrio,Ogarrio-817D,CERRADO CON OPORTUNIDADES,Ogarrio-817,Ogarrio 5,17.99683333,-93.93063889,Ogarrio-817,25/11/1972,2465,V
Ogarrio,Ogarrio-818,CERRADO CON OPORTUNIDADES,Ogarrio-818,Ogarrio 5,17.99502778,-93.93397222,Ogarrio-818,14/05/1973,3240.25,V
Ogarrio,Ogarrio-818D,CERRADO CON OPORTUNIDADES,Ogarrio-818,Ogarrio 5,17.99497222,-93.934,Ogarrio-818,29/10/1974,2885,V
Ogarrio,Ogarrio-824,CERRADO CON OPORTUNIDADES,Ogarrio-824,Ogarrio 5,17.99502778,-93.92744444,Ogarrio-824,05/10/1973,2452,V
Ogarrio,Ogarrio-827,CERRADO CON OPORTUNIDADES,Ogarrio-827,Ogarrio 5,17.99325,-93.93072222,Ogarrio-827,14/06/1973,2885,V
Ogarrio,Ogarrio-829,PRODUCTOR ,Ogarrio-829,Ogarrio 5,17.99141667,-93.92747222,Ogarrio-829,14/06/1973,2781,V
Ogarrio,Ogarrio-832D,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-832,Ogarrio 5,17.98952778,-17.98952778,Ogarrio-832,07/08/1974,2550,V
Ogarrio,Ogarrio-850,INYECTOR,Ogarrio-850,Ogarrio 5,17.98822222,-93.92794444,Ogarrio-850,13/05/1973,2967,V
Ogarrio,Ogarrio-850D,PRODUCTOR ,Ogarrio-850,Ogarrio 5,17.98825,-93.92788889,Ogarrio-850,06/08/1974,2620,V
Ogarrio,Ogarrio-85D,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-85,Ogarrio 2,18.03352778,-93.92152778,Ogarrio-85,11/06/1960,2000,V
Ogarrio,Ogarrio-87,CERRADO CON PROGRAMA DE REPARACION,N.A.,Ogarrio 2,18.03133333,-93.91855556,Ogarrio-87,31/12/1960,2305,V
Ogarrio,Ogarrio-903,CERRADO CON OPORTUNIDADES,Ogarrio-809,Ogarrio 5,17.997,-93.93705556,Ogarrio-903,08/09/2010,2726,D
Ogarrio,Ogarrio-913,CERRADO CON OPORTUNIDADES,Ogarrio-913,Ogarrio 5,17.98244444,-93.92383333,Ogarrio-913,08/11/2011,3095,D
Ogarrio,Ogarrio-951,CERRADO CON OPORTUNIDADES,Ogarrio-832,Ogarrio 5,17.98980556,-93.93072222,Ogarrio-832,20/11/2010,2828,D
Ogarrio,Ogarrio-953,CERRADO CON OPORTUNIDADES,Ogarrio-824,Ogarrio 5,17.99472222,-93.9275,Ogarrio-824,19/10/2013,2716,D
Ogarrio,Ogarrio-95C,PRODUCTOR ,Ogarrio-95,Ogarrio 2,18.03747222,-93.92438889,Ogarrio-95 ,05/05/1959,1150,D
Ogarrio,Ogarrio-96D,PRODUCTOR ,Ogarrio-96,Ogarrio 2,18.03633333,-93.92283333,Ogarrio-96 ,01/03/1960,1140,V
Ogarrio,Ogarrio-997,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,17.98952778,-93.92413889,Ogarrio-997,07/07/1974,2923,D
Ogarrio,Ogarrio-977,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,17.98586111,-93.92405556,Ogarrio-997,11/12/1973,2812,D
Ogarrio,Ogarrio-95D,PRODUCTOR ,Ogarrio-95,Ogarrio 2,18.03736111,-93.92438889,Ogarrio-95 ,28/02/1959,1998.5,V
Ogarrio,Ogarrio-1501,CERRADO,Ogarrio-664,Fuera del Campo Ogarrio (No llega a ninguna Batería),18.06822222,-93.95258333,Ogarrio-1501,25/08/2013,2319,D
Ogarrio,Ogarrio-1502,CERRADO,Ogarrio-664,Fuera del Campo Ogarrio (No llega a ninguna Batería),18.06827778,-93.95247222,Ogarrio-1501,16/09/2013,2249,D
Ogarrio,Ogarrio-1503,CERRADO,Ogarrio-664,Fuera del Campo Ogarrio (No llega a ninguna Batería),18.06819444,-93.95269444,Ogarrio-1501,04/08/2013,2097,D
Ogarrio,Ogarrio-1527,CERRADO,Ogarrio-664,Fuera del Campo Ogarrio (No llega a ninguna Batería),18.06827778,-93.95247222,Ogarrio-1501,09/02/2014,2317,D
Ogarrio,Ogarrio-1301,CERRADO,Ogarrio-1490,Ogarrio 5,18.02205556,-93.95666667,Ogarrio-1205,19/04/2007,3225,D
Ogarrio,Ogarrio-203,CERRADO,N.A.,Ogarrio 2,18.028,-93.92211111,Ogarrio-203,19/10/1957,1800,V
Ogarrio,Ogarrio-204,CERRADO,Ogarrio-4,Ogarrio 2,18.02588889,-93.91908333,Ogarrio-4,24/10/1957,1940,V
Ogarrio,Ogarrio-240,CERRADO,Ogarrio-40,Ogarrio 2,18.03430556,-93.93130556,Ogarrio-40,19/10/1958,1717,V
Ogarrio,Ogarrio-242,CERRADO,Ogarrio-42,Ogarrio 2,18.03225,-93.93030556,Ogarrio-42,01/06/1958,1660,V
Ogarrio,Ogarrio-26,CERRADO,N.A.,Ogarrio 2,18.03044444,-93.92844444,Ogarrio-26,24/07/1960,1630,V
Ogarrio,Ogarrio-270,CERRADO,Ogarrio-70,Ogarrio 2,18.03377778,-93.92483333,Ogarrio-70,21/09/1958,1905,V
Ogarrio,Ogarrio-274,CERRADO,Ogarrio-74,Ogarrio 2,18.02963889,-93.91863889,Ogarrio-74,02/02/1958,2050,V
Ogarrio,Ogarrio-276,CERRADO,Ogarrio-76,Ogarrio 2,18.02736111,-93.91563889,Ogarrio-76,15/05/1958,2085,V
Ogarrio,Ogarrio-29D,CERRADO,Ogarrio-29,Ogarrio 2,18.02725,-93.92388889,Ogarrio-29,13/08/1960,1730,V
Ogarrio,Ogarrio-30D,CERRADO,Ogarrio-30,Ogarrio 2,18.02622222,-93.92225,Ogarrio-30,20/08/1960,1785,V
