Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-588,CERRADO,N.A.,Ogarrio 2,18.04177778,-93.93394444,Ogarrio-588,22/05/1960,2207,V
Ogarrio,Ogarrio-589,CERRADO,Ogarrio-589,Ogarrio 2,18.04255556,-93.93213889,Ogarrio-589,13/03/1960,2300,V
Ogarrio,Ogarrio-58T,CERRADO,Ogarrio-58,Ogarrio 2,#N/A,#N/A,Ogarrio-58,20/07/1960,1840,D
Ogarrio,Ogarrio-59,CERRADO,Ogarrio-59,Ogarrio 2,18.02877778,-93.92030556,Ogarrio-59,18/06/1960,2249.1,V
Ogarrio,Ogarrio-590,CERRADO,Ogarrio-590,Ogarrio 2,18.04341667,-93.93044444,Ogarrio-590,24/01/1961,2355,V
Ogarrio,Ogarrio-600,CERRADO,Ogarrio-600,Ogarrio 2,18.04447222,-93.93197222,Ogarrio-600,14/12/1960,1825,V
Ogarrio,Ogarrio-60T,CERRADO,Ogarrio-60,Ogarrio 2,#N/A,#N/A,Ogarrio-60,16/09/1960,1980,D
Ogarrio,Ogarrio-66,CERRADO,Ogarrio-66,Ogarrio 2,18.038,-93.93105556,Ogarrio-66,03/04/1959,1983,V
Ogarrio,Ogarrio-66T,CERRADO,Ogarrio-66,Ogarrio 2,#N/A,#N/A,Ogarrio-66,01/06/1959,1899,D
Ogarrio,Ogarrio-67D,CERRADO,Ogarrio-67,Ogarrio 2,18.03688889,-93.9295,Ogarrio-67,12/11/1959,1840,V
Ogarrio,Ogarrio-68,CERRADO,N.A.,Ogarrio 2,18.03583333,-93.92794444,Ogarrio-68,08/03/1958,1985,V
Ogarrio,Ogarrio-70,CERRADO,Ogarrio-70,Ogarrio 2,18.03372222,-93.92494444,Ogarrio-70,18/08/1958,2035,V
Ogarrio,Ogarrio-71,CERRADO,Ogarrio-71,Ogarrio 2,18.03255556,-93.92327778,Ogarrio-71,19/11/1959,2175,V
Ogarrio,Ogarrio-71D,CERRADO,Ogarrio-71,Ogarrio 2,18.03261111,-93.92330556,Ogarrio-71,05/01/1960,2050,V
Ogarrio,Ogarrio-74,CERRADO,Ogarrio-74,Ogarrio 2,18.02955556,-93.91872222,Ogarrio-74,06/12/1957,2498.5,V
Ogarrio,Ogarrio-76,CERRADO,Ogarrio-76,Ogarrio 2,18.02741667,-93.91566667,Ogarrio-76,24/05/1958,2721,V
Ogarrio,Ogarrio-81D,CERRADO,Ogarrio-81,Ogarrio 2,18.03772222,-93.92777778,Ogarrio-81,21/11/1959,1906,V
Ogarrio,Ogarrio-84,CERRADO,Ogarrio-84,Ogarrio 2,18.03447222,-93.92311111,Ogarrio-84,14/10/1960,2200,V
Ogarrio,Ogarrio-84D,CERRADO,Ogarrio-84,Ogarrio 2,18.0345,-93.92305556,Ogarrio-84,06/11/1960,1940,V
Ogarrio,Ogarrio-85,CERRADO,Ogarrio-85,Ogarrio 2,18.03347222,-93.92158333,Ogarrio-85,22044,2300,V
